mAb,Reference,CL,VC,VP,Q,ka,F,Km,Vm,Route,NonLin,TMDD,Time dependency,Fixed Parameters,Detection,N,Smpls,CL_WT,VC_WT,VP_WT,Q_WT,Size descriptor,Ref size,CL_SEX,VC_SEX,VP_SEX,SEX,CL_ALB,VC_ALB,VP_ALB,ALB,CL_ADA,cov_remark,Basemodel included,Modelcode included
basiliximab,https://doi.org/10.1023/A:1020658023774,0.88,3.72,4.08,4.16,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,46,1049,NA,NA,NA,NA,NA,72,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
basiliximab,https://doi.org/10.1111/bcp.15235,0.26,2.8,3.9,0.91,NA,NA,NA,NA,i.v.,1,TMDD,0,NA,ELISA,16,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,Yes,0
belimumab,https://doi.org/10.1007/s40262-017-0586-5,0.204,2.3,2.65,0.698,0.235,0.742,NA,NA,s.c./i.v.,0,NA,0,"CL_WT, VC_WT, VP_WT, Q_WT",ECL,688,4958,0.75,1,1,0.75,WT+BMI,67,NA,NA,NA,0,-0.736,NA,NA,41,NA,NA,No,0
belimumab,https://doi.org/10.1002/jcph.104,0.215,2.56,2.73,0.459,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,1603,8143,0.506,1.14,NA,NA,WT+BMI,66.3,NA,NA,NA,0,-0.829,NA,NA,40,NA,NA,No,0
belimumab,https://doi.org/10.1111/bcp.16263,0.223,2.66,2.36,0.494,0.226,0.802,NA,NA,s.c./i.v.,0,NA,0,NA,ECL,2002,12061,0.739,0.711,0.711,0.739,FFM,40.486,NA,NA,NA,0,-1.11,NA,NA,41,0,NA,No,0
benralizumab,https://doi.org/10.1007/s40262-019-00738-4,0.291,3.13,2.52,0.738,0.282,0.589,NA,NA,s.c./i.v.,0,NA,0,NA,ELISA & ECL,2317,14938,0.807,0.803,0.528,NA,BW,70,NA,NA,NA,0,NA,NA,NA,NA,x 2.24,NA,Yes,0
benralizumab,https://doi.org/10.1002/psp4.12160,0.323,3.16,2.83,0.939,0.252,0.526,NA,NA,s.c./i.v.,0,NA,0,CL_WT,ELISA & ECL,200,1820,0.75,0.651,0.576,NA,BW,71.67,NA,NA,NA,0,NA,NA,NA,NA,x 4.57,NA,No,1
bevacizumab,https://doi.org/10.1007/s00280-019-03946-8,0.271,2.99,6.09,6.456,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,719,8632,0.354,0.468,NA,NA,BW,71,0.262,0.247,NA,F,NA,NA,NA,NA,NA,NA,No,0
bevacizumab,https://doi.org/10.1007/s00280-016-3079-6,0.206,2.68,2.42,0.446,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,1792,8943,0.589,0.47,0.47,0.589,BW,70,0.14,0.18,NA,F,-0.473,NA,NA,39,NA,NA,Yes,0
bevacizumab,https://doi.org/10.1007/s00280-015-2701-3,0.17,3.14,2.63,0.36,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,19,86,NA,NA,NA,NA,NA,70,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
